식품명,조리상태,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g)
호밀빵,-,252,52.7,8.4,2.2,0.0
감자,생것,67,15.08,2.01,0.04,0.0
감자,삶은것,77,17.39,2.07,0.08,0.0
감자,찐것,80,18.17,2.11,0.09,0.0
감자,구운것,90,20.5,2.43,0.09,0.0
감자,부침가루,355,73.6,12.1,1.4,0.0
감자 과자,구운것,469,71.4,5.0,18.2,5.01
감자 과자,튀긴것,536,60.92,4.95,30.33,0.0
감자 튀김,튀긴것,293,44.16,3.54,11.3,0.19
감자,으깬감자,83,17.57,1.91,0.57,1.48
감자 샐러드,-,143,11.17,2.68,8.2,0.0
고구마,생것,147,35.52,1.09,0.15,9.83
고구마,찐것,163,39.41,1.08,0.15,13.75
고구마,구운것,188,45.48,1.13,0.16,19.08
고구마,말린것,312,75.7,2.3,0.1,0.0
당면,말린것,358,88.75,0.08,0.07,0.0
당면,삶은것,123,30.38,0.03,0.04,0.0
곤약,가루,194,85.3,3.0,0.1,0.0
곤약,생것,7,3.0,0.2,0.0,0.0
돼지감자,생것,35,14.92,2.18,0.09,6.37
돼지감자,삶은것,39,17.16,2.23,0.11,0.0
돼지감자,말린것,172,74.35,10.43,0.46,11.64
마,생것,63,14.05,1.84,0.12,1.0
마,삶은것,49,10.51,1.47,0.25,2.47
아피오스감자,생것,175,38.2,6.1,0.5,0.0
야콘,생것,52,12.4,0.6,0.3,0.5
야콘,삶은것,42,9.9,0.6,0.3,0.0
전분,가루,334,82.7,0.07,0.02,0.05
천마,생것,77,18.5,0.9,0.0,0.0
천마,찐것,81,19.3,1.1,0.0,0.0
칡,생것,137,32.05,2.48,0.1,3.58
칡즙,-,21,4.91,0.44,0.0,1.51
토란,생것,71,15.77,2.08,0.14,0.0
토란,삶은것,73,16.28,2.17,0.18,0.46
토란,찐것,76,16.75,2.4,0.17,0.0
히카마,생것,44,10.36,0.68,0.06,4.59
히카마,삶은것,45,10.66,0.39,0.06,2.93
껌,무설탕,268,94.8,0.0,0.4,0.0
꿀,-,317,85.83,0.28,0.01,72.67
꿀,밤,314,84.95,0.45,0.02,67.37
꿀,아카시아,319,86.48,0.12,0.0,74.68
꿀,잡화,318,86.07,0.26,0.02,75.96
꿀,토종,313,84.73,0.38,0.02,67.18
당밀,가공당,274,68.2,0.2,0.0,0.0
로얄제리,-,104,12.82,14.29,1.4,12.04
물엿,-,321,83.03,0.02,0.0,22.06
사탕,드롭스,379,97.57,0.31,0.55,42.77
사탕,땅콩,354,91.2,0.23,7.14,37.08
사탕,박하사탕,382,98.59,0.02,0.02,41.67
사탕,버터,352,90.62,0.22,8.22,34.27
설탕,가루,389,99.77,0.0,0.0,97.81
설탕,백설탕,387,99.96,0.0,0.01,99.7
설탕,빙설탕,394,99.8,0.1,0.0,99.9
설탕,황설탕,386,99.81,0.0,0.01,97.0
설탕,흑설탕,379,97.88,0.12,0.01,90.0
시럽,단풍나무,260,67.04,0.04,0.06,60.46
시럽,초콜릿,268,67.1,2.1,0.1,0.0
양갱,팥,298,73.44,3.37,0.14,41.94
엿,고구마,263,69.7,1.6,0.0,0.0
젤라틴,가루,381,90.5,7.8,0.0,86.04
젤리,구미,344,77.53,7.5,0.42,50.0
조청,감,201,47.0,3.0,0.1,0.0
조청,고구마,289,77.0,1.38,0.35,46.86
조청,도라지,323,86.0,1.7,0.1,0.0
조청,배,238,62.3,2.1,0.0,0.0
조청,산수유,299,80.9,0.3,0.0,0.0
조청,쌀,326,87.9,0.53,0.24,49.91
조청,오가피,286,77.3,0.4,0.1,0.0
초코바,땅콩 캐러멜,479,61.98,9.36,21.51,48.03
초코바,쿠키 캐러멜,489,67.6,4.33,22.33,43.07
초콜릿,다크 초콜릿,598,45.9,7.79,42.63,23.99
초콜릿,땅콩 초콜릿,519,49.7,13.1,33.5,37.59
초콜릿,밀크 아몬드 초콜릿,526,53.4,9.0,34.4,43.9
초콜릿,밀크 초콜릿,549,56.17,7.8,32.54,46.18
초콜릿,스위트 초콜릿,507,60.4,3.9,34.2,51.48
초콜릿,크런치 초콜릿,520,62.49,7.25,26.81,44.12
초콜릿,화이트 초콜릿,539,59.24,5.87,32.09,59.0
캐러멜,우유,423,79.9,1.8,10.7,0.0
