식품명,단백질(g),지방(g),탄수화물(g),당류(g),에너지(kcal)
호박죽,1.93,1.71,6.58,3.56,49
흑임자 죽,1.1,4.73,3.64,0.75,61
갈비탕,8.51,2.06,0.4,0.11,54
감자국,0.9,0.26,3.67,0.85,21
곰탕,3.43,1.12,0.11,0,24
곰탕_우거지,2.37,0.6,2.6,0.33,25
굴국_무,2.41,0.36,2.93,0.14,25
김치국,1.34,0.76,2.63,0.03,23
김치국_콩나물,0.82,0.47,1.15,0.49,12
내장탕,5.82,4.52,1.68,0.05,71
냉국_미역,0.19,0.67,7.51,4.49,37
냉국_미역_오이,0.37,0.15,0.85,0.69,6
달걀국,0.93,0.74,0.69,0,13
달걀탕_순두부,1.78,2.04,0.94,0,29
닭곰탕,7.51,1.42,2,0.3,51
도가니탕,8.35,0.33,0.82,0,40
된장국_감자,1.09,0.6,3.7,0.77,25
된장국_냉이,1.71,0.66,2.2,0.3,22
된장국_미역,1.56,0.97,2.28,0.61,24
된장국_배추,1.46,0.4,2.58,0,20
된장국_시금치,1.02,0.17,0.98,0.11,9
된장국_시래기,1.31,0.22,2.03,0,15
된장국_쑥,1.22,0.47,1.52,0.73,15
된장국_아욱,2.28,0.56,1.59,0.11,20
된장국_얼갈이배추,0.5,0.41,0.85,0.06,9
된장국_우거지,2.77,0.59,0.82,0.63,20
된장국_콩나물,2.58,1.11,2.62,0.53,31
된장국_해물,2.1,0.98,2.68,0.45,28
된장국_호박,3.34,1.31,1.41,0.49,31
된장국_호박잎,0.4,0.32,0.54,0.07,7
무국_소고기,1.33,0.64,1.1,0,15
무국_홍합,0.79,2.03,0.86,0.24,25
묵국_메밀묵,1,0.4,3.57,0.28,22
미역국,0.65,0.61,0.87,0.27,12
미역국_대합,1.23,0.45,0.56,0.01,11
미역국_새우,1.09,0.46,1.83,0,16
미역국_소고기,1.86,0.26,0.82,0.52,13
배추국_소고기,1.84,0.41,1.14,0,16
북어국,3.89,0.98,0.84,0.12,28
사골국,5.56,2.42,2.81,0,55
삼계탕,10.68,4.8,3.84,0.45,101
새우탕,5.17,0.44,2,0.06,33
설렁탕,4.26,0.58,0.36,0,24
순대국,2.35,1.75,14.95,0.26,85
어묵국(어묵탕),1.49,1.03,3.83,0.07,31
오징어국,2.22,0.73,0.73,0.24,18
육개장,3.68,0.99,1.49,0.76,30
육개장_닭고기,2.74,0.42,1.41,0.57,20
장어탕,4.32,3.91,3.68,2.66,67
재첩국,0.67,0.29,4.54,0,23
조개국,1.67,0.89,0.25,0.18,16
콩나물국,0.74,0.09,0.61,0.16,6
토란국,1,0.12,2.61,0.27,16
