식품명,단백질(g),지방(g),탄수화물(g),당류(g),에너지(kcal)
"찹쌀, 백미, 가루",6.44,0.57,82.08,0.08,375
"찹쌀, 현미, 생것",7.28,2.29,75.52,0.90,356
"찹쌀, 현미, 동진찰벼, 생것",7.14,2.18,76.22,0.39,357
"찹쌀, 현미, 백옥찰, 생것",7.47,2.38,75.65,1.05,358
"찹쌀, 현미, 백진주, 생것",7.38,2.39,75.82,1.12,358
"찹쌀, 현미, 보람찰, 생것",7.11,2.21,74.39,1.03,350
"찹쌀, 현미, 보람찰, 밥",3.55,1.25,38.41,0.45,181
"찹쌀, 현미, 흑미, 생것",7.83,2.75,75.66,1.77,362
"찹쌀, 현미, 눈큰흑찰1호, 생것",8.19,2.69,75.08,2.19,360
"찹쌀, 현미, 조생흑찰, 생것",7.47,2.80,76.23,1.34,363
"찹쌀 과자, 다식, 검정깨",13.8,25.2,48.3,-,475
"찹쌀 과자, 다식, 송화",4.4,2.3,76.1,-,343
"찹쌀 과자, 산자",2.0,11.8,75.6,-,417
"찹쌀 과자, 유과",1.96,10.37,77.49,14.72,411
"찹쌀 과자, 전병",7.8,10.7,79.6,-,446
"찹쌀 국수, 흑미, 말린것",8.1,0.3,74.6,-,334
찹쌀떡,4.81,1.75,52.65,6.47,245
"찹쌀떡, 경단 카스텔라",4.1,1.8,51.1,-,237
"찹쌀떡, 모듬찰떡",5.7,1.2,47.4,-,223
"찹쌀떡, 약식",3.7,2.2,52.3,-,244
"찹쌀떡, 인절미, 팥고물",4.2,0.9,44.8,-,204
"찹쌀떡, 인절미, 콩고물",5.52,1.15,49.69,2.81,231
"찹쌀떡, 찰시루떡",6.63,0.41,37.63,1.22,181
"찹쌀빵, 찹쌀도넛",5.0,5.3,57.1,-,296
"퀴노아, 쪄서 말린것",9.56,3.26,72.62,1.34,363
"피, IEC525(NO.5), 도정, 생것",8.5,4.6,73.9,-,376
"호밀, 통호밀, 생것",15.9,1.5,70.7,-,334
"호밀, 가루",8.5,1.6,75.8,0.9,324
호밀빵,8.4,2.2,52.7,-,252
"감자, 대지, 생것",2.01,0.04,15.08,0,67
"감자, 대지, 삶은것",2.07,0.08,17.39,0,77
"감자, 대지, 찐것",2.11,0.09,18.17,0,80
"감자, 대지, 구운것",2.43,0.09,20.50,0,90
"감자, 수미, 생것",1.93,0.03,16.07,0,70
"감자, 수미, 삶은것",1.99,0.04,17.43,0,76
"감자, 수미, 찐것",1.94,0.05,17.28,0,75
"감자, 수미, 구운것",2.30,0.08,19.38,0,85
"감자, 로즈밸리, 생것",2.25,0.03,15.18,0,68
"감자, 로즈밸리, 삶은것",2.34,0.09,17.87,0,79
"감자, 자색, 생것",2.8,-,18.5,-,82
"감자, 자색, 찐것",2.3,-,19.5,-,85
"감자, 자색, 보라밸리, 생것",1.45,0.02,13.79,0,60
"감자, 자색, 보라밸리, 삶은것",1.39,0.05,15.97,0,69
"감자, 자심, 생것",1.8,0,14.7,-,64
"감자, 부침가루",12.1,1.4,73.6,-,355
"감자 과자, 감자칩, 구운것",5.00,18.20,71.40,5.01,469
"감자 과자, 감자칩, 튀긴것",4.95,30.33,60.92,0,536
"감자 튀김, 튀긴것",3.54,11.30,44.16,0.19,293
"감자 튀김, 해시브라운, 튀긴것",2.65,11.59,28.51,0.27,219
"감자, 으깬감자",1.91,0.57,17.57,1.48,83
감자 샐러드,2.68,8.20,11.17,-,143
"고구마, 생것",1.09,0.15,35.52,9.83,147
"고구마, 분질(밤) 고구마, 생것",1.01,0.11,37.22,9.83,154
"고구마, 점질(호박) 고구마, 생것",1.17,0.20,33.81,9.83,141
"고구마, 베니하루까, 생것",1.03,0.45,34.91,7.08,147
"고구마, 신율미, 생것",1.00,0.61,38.84,4.64,164
"고구마, 신자미, 생것",1.3,0.1,25.5,-,107
"고구마, 연황미, 생것",1.1,0,30.7,-,127
"고구마, 주황미, 생것",1.0,0.1,25.1,-,105
"고구마, 진홍미, 생것",1.2,-,33.8,-,140
"고구마, 찐것",1.08,0.15,39.41,13.75,163
"고구마, 분질(밤) 고구마, 찐것",1.07,0.15,40.90,13.02,169
"고구마, 점질(호박) 고구마, 찐것",1.10,0.15,37.91,14.48,157
"고구마, 구운것",1.13,0.16,45.48,19.08,188
"고구마, 분질(밤) 고구마, 구운것",1.01,0.16,45.94,14.95,189
"고구마, 점질(호박) 고구마, 구운것",1.25,0.16,45.02,23.21,186
"고구마, 말린것",2.3,0.1,75.7,-,312
"당면, 고구마, 말린것",0.08,0.07,88.75,0,358
"당면, 고구마, 삶은것",0.03,0.04,30.38,0,123
"당면, 고구마, 감자, 말린것",0,0.2,86.6,0,346
"곤약(구약나물), 가루",3.0,0.1,85.3,-,194
"곤약(구약나물), 국수형, 생것",0.2,Tr,3.0,-,7
"곤약(구약나물), 판형, 생것",0.12,0.01,3.06,0,6
"돼지감자, 생것",2.18,0.09,14.92,6.37,35
"돼지감자, 삶은것",2.23,0.11,17.16,0,39
"돼지감자, 말린것",10.43,0.46,74.35,11.64,172
"마, 단마, 생것",1.84,0.12,14.05,1.00,63
"마, 둥근마, 생것",3.56,0.98,33.24,0.15,152
"마, 장마, 생것",1.56,0.28,9.55,2.22,45
"마, 장마, 삶은것",1.47,0.25,10.51,2.47,49
"아피오스감자, 생것",6.1,0.5,38.2,-,175
"야콘, 뿌리, 생것",0.6,0.3,12.4,0.5,52
"야콘, 뿌리, 삶은것",0.6,0.3,9.9,-,42
"전분, 감자, 가루",0.07,0.02,82.70,0.05,334
"전분, 고구마, 가루",0,0.05,85.85,0.01,346
"전분, 밀, 가루",0.2,0.5,86.0,0,360
"전분, 쌀, 가루",0.2,0.7,89.3,0,375
"전분, 옥수수, 가루",0.19,0.56,89.60,0.05,366
"전분, 옥수수, 밀, 가루",0.3,0,93.8,-,379
"전분, 칡뿌리, 가루",0.2,0.2,85.6,0,356
"천마, 생것",0.9,0,18.5,-,77
"천마, 찐것",1.1,0,19.3,-,81
"칡, 뿌리, 생것",2.48,0.10,32.05,3.58,137
칡즙,0.44,0,4.91,1.51,21
"토란, 생것",2.08,0.14,15.77,0,71
"토란, 삶은것",2.17,0.18,16.28,0.46,73
"토란, 찐것",2.40,0.17,16.75,0,76
"히카마(얌빈), 생것",0.68,0.06,10.36,4.59,44
"히카마(얌빈), 삶은것",0.39,0.06,10.66,2.93,45
과당,0,0,99.9,-99.9,375
"껌, 무설탕",0,0.40,94.80,0,268
"껌, 추잉 껌",0,0,-96.9,-,388
"껌, 풍선껌",0,0,-96.7,-,387
꿀,0.28,0.01,85.83,72.67,317
"꿀, 밤",0.45,0.02,84.95,67.37,314
"꿀, 아카시아",0.12,0,86.48,74.68,319
"꿀, 잡화",0.26,0.02,86.07,75.96,318
"꿀, 토종",0.38,0.02,84.73,67.18,313
"당밀, 가공당",0.2,0,68.2,-,274
로얄제리,14.29,1.40,12.82,12.04,104
물엿,0.02,0,83.03,22.06,321
"사탕, 드롭스",0.31,0.55,97.57,42.77,379
"사탕, 땅콩",0.23,7.14,91.20,37.08,354
"사탕, 마쉬멜로",-2.1,0,-79.3,-61.4,324
"사탕, 박하사탕",0.02,0.02,98.59,41.67,382
"사탕, 버터",0.22,8.22,90.62,34.27,352
"설탕, 가루",0,0,99.77,97.81,389
"설탕, 각설탕",0,0,100.0,-99.9,394
"설탕, 백설탕",0,0.01,99.96,99.70,387
"설탕, 빙설탕",0.1,0,99.8,99.9,394
"설탕, 황설탕",0,0.01,99.81,97.00,386
"설탕, 흑설탕",0.12,0.01,97.88,90.00,379
"시럽, 단풍나무",0.04,0.06,67.04,60.46,260
"시럽, 초콜릿",2.1,0.1,67.1,-,268
"양갱, 팥",3.37,0.14,73.44,41.94,298
"엿, 고구마",1.6,-,69.7,-,263
"젤라틴, 디저트용, 가루",7.80,0,90.50,86.04,381
"젤리, 구미",7.50,0.42,77.53,50.00,344
"조청, 감",3.0,0.1,47.0,-,201
"조청, 고구마",1.38,0.35,77.00,46.86,289
"조청, 도라지",1.7,0.1,86.0,-,323
"조청, 배",2.1,0,62.3,-,238
"조청, 산수유",0.3,-,80.9,-,299
"조청, 쌀",0.53,0.24,87.90,49.91,326
"조청, 오가피",0.4,0.1,77.3,-,286
"초코바, 땅콩 캐러멜",9.36,21.51,61.98,48.03,479
"초코바, 쿠키 캐러멜",4.33,22.33,67.60,43.07,489
"초콜릿, 다크 초콜릿",7.79,42.63,45.90,23.99,598
"초콜릿, 땅콩 초콜릿",13.10,33.50,49.70,37.59,519
"초콜릿, 밀크 아몬드 초콜릿",9.00,34.40,53.40,43.90,526
"초콜릿, 밀크 초콜릿",7.80,32.54,56.17,46.18,549
"초콜릿, 스위트 초콜릿",3.90,34.20,60.40,51.48,507
"초콜릿, 크런치 초콜릿",7.25,26.81,62.49,44.12,520
"초콜릿, 화이트 초콜릿",5.87,32.09,59.24,59.00,539
"캐러멜, 우유",1.8,10.7,79.9,-,423
포도당,0,0,91.0,-88.2,342
"푸딩, 바닐라 가루, 우유에 섞은것",2.70,2.90,19.70,18.03,114
"푸딩, 커스터드",-5.7,-5.5,-14.0,-13.6,116
"강낭콩, 생것",8.80,0.86,32.38,0,172
"강낭콩, 삶은것",8.46,0.90,31.90,0,170
"강낭콩, 말린것",21.2,1.1,63.9,-,350
"녹두, 말린것",24.51,1.52,60.15,0,352
"녹두, 삶은것",11.29,0.67,26.66,0,158
"녹두 빈대떡, 가루",20.7,1.2,63.4,-,347
"녹두 빈대떡가루, 반죽",6.2,0.6,17.0,-,98
"녹두 국수, 말린것",0.2,0.4,87.5,0,344
녹두묵,0.12,0.03,9.81,0.02,40
"대두, 검은색, 서리태, 말린것",38.68,15.86,30.45,6.45,413
"대두, 검은색, 서리태, 삶은것",19.02,8.75,11.39,6.95,196
"대두, 검은색, 서리태, 볶은것",41.72,16.72,31.27,6.73,436
"대두, 검은색, 청자3호, 말린것",34.60,12.60,37.84,9.36,399
"대두, 검은색, 청자3호, 볶은것",37.4,18.1,36.7,-,452
"대두, 검은색, 흑태, 말린것",36.10,15.37,32.45,6.44,407
"대두, 검은색, 흑태, 삶은것",17.87,9.05,12.40,2.19,199
"대두, 검은색, 흑태, 볶은것",40.99,17.31,33.31,5.70,446
"대두, 노란색, 말린것",36.21,14.71,32.99,6.64,409
"대두, 노란색, 삶은것",17.82,9.50,12.02,2.43,201
"대두, 노란색, 볶은것",40.47,17.21,33.57,6.32,444
"대두, 노란색, 대풍, 말린것",34.36,13.83,36.94,5.51,405
"대두, 노란색, 대풍, 볶은것",35.8,19.5,37.3,-,460
"대두, 노란색, 미국산, 말린것",33.9,16.0,39.6,-,432
"대두, 노란색, 중국산, 말린것",32.7,16.9,39.2,-,433
"대두, 콩가루",37.0,20.9,32.3,-,427
두부,9.62,4.63,3.75,0,97
"두부, 동두부, 동결건조",50.5,34.1,4.2,0,496
"두부, 순두부",6.85,1.35,0.69,0.60,44
"두부, 연두부",4.66,2.51,1.93,0.74,50
"두부, 유부",26.11,34.23,7.93,0.42,450
비지,3.5,1.5,11.7,-,74
"두유, 대두",3.01,3.92,3.42,3.02,62
"두유, 검은콩",3.21,3.77,9.87,4.71,86
"두유, 검은콩, 검은참깨",3.40,3.15,8.76,4.54,77
"두유, 콩국물, 소금 0.3%",4.84,2.57,3.74,0.91,57
콩조림(콩자반),19.3,4.2,39.1,-,271
"동부, 생것",9.51,1.02,29.34,0.21,166
"동부, 삶은것",8.11,0.77,24.46,0.14,138
"동부, 말린것",19.61,2.10,60.56,0.44,343
"동부, 수입산, 말린것",22.08,2.07,59.43,0,345
"동부, 수입산, 삶은것",10.02,1.12,26.28,0,155
"리마콩, 말린것",21.9,1.8,60.8,1.2,306
"리마콩, 삶은것",9.6,0.9,26.0,-0.5,122
"렌즈콩(렌틸콩), 갈색, 말린것",21.01,1.43,65.42,1.30,359
"렌즈콩(렌틸콩), 빨간색, 말린것",22.22,1.68,63.63,1.33,359
"밤콩, 갈색, 말린것",35.0,17.2,30.6,-,410
"병아리콩, 말린것",17.27,5.66,63.14,-,373
"완두, 생것",7.92,0.44,19.51,0,114
"완두, 삶은것",7.27,1.10,20.78,0,122
"완두, 말린것",20.7,1.3,67.1,-,363
"완두, 통조림",3.6,0.4,19.7,-3.8,82
"작두(도두), 생것",9.0,0.3,21.5,-,125
"작두(도두), 말린것",26.3,1.0,57.4,-,344
"잠두, 생것",26.12,1.53,58.29,5.70,341
"잠두, 삶은것",7.60,0.40,19.65,1.82,110
"쥐눈이콩(검정소립콩), 말린것",37.32,14.61,30.59,5.58,403
"쥐눈이콩(검정소립콩), 삶은것",17.99,6.79,12.71,1.55,184
"쥐눈이콩(검정소립콩), 볶은것",42.31,16.71,31.73,5.56,447
"팥, 검은색, 말린것",20.63,0.96,58.72,0.43,330
"팥, 검은색, 검구슬, 말린것",20.57,1.05,60.26,0.40,336
"팥, 검은색, 삶은것",9.49,0.86,27.15,0.28,156
"팥, 녹색, 연두채, 말린것",22.58,1.00,59.54,0.28,341
"팥, 적색, 말린것",21.82,1.07,58.56,0.45,335
"팥, 적색, 서나, 말린것",21.14,1.22,60.56,0.46,341
"팥, 적색, 아라리, 말린것",21.59,1.06,59.50,0.52,338
"팥, 적색, 삶은것",7.91,0.32,19.40,0.16,113
"팥, 적색, 수입산, 말린것",19.6,0.5,68.5,-,357
"팥, 황백, 말린것",22.38,1.17,59.85,0.36,343
"팥, 황백, 흰구슬, 말린것",21.55,1.44,61.43,0.39,348
"팥, 황백, 흰나래, 말린것",23.20,0.89,58.26,0.34,337
"팥, 회색, 말린것",21.9,1.0,63.3,-,350
"팥, 앙금, 페이스트",9.8,0.6,27.1,0,147
"팥, 팥빙수용 단팥",4.51,0.22,45.63,36.53,206
"개암, 헤이즐넛, 말린것",14.95,60.75,16.70,4.34,628
"개암, 헤이즐넛, 볶은것",15.03,62.40,17.60,4.89,646
"도토리, 생것",4.4,3.0,46.7,-,230
"도토리, 가루",1.1,1.1,83.7,-,354
"도토리, 가루, 졸참도토리 ",4.6,0.5,79.2,-,342
"도토리, 가루, 종가시도토리",3.3,1.6,79.5,-,348
"도토리, 국수, 말린것",12.4,0.7,72.2,-,343
도토리묵,0.33,0.11,11.23,0,47
"도토리묵, 가루",1.70,1.23,87.09,0.01,366
"들깨, 말린것",22.68,39.74,29.26,1.46,530
"들깨, 볶은것",23.59,36.23,35.53,1.48,530
"땅콩, 말린것",25.74,42.57,18.36,4.40,520
"땅콩, 검은색, 말린것",19.3,47.7,26.5,-,574
"땅콩, 대립종, 말린것",26.1,49.1,17.1,-,571
"땅콩, 중립종, 말린것",20.3,43.0,29.1,-,549
"땅콩, 소립종, 말린것",22.4,46.3,24.2,-,564
"땅콩, 삶은것, 소금첨가",13.50,22.01,21.26,2.47,318
"땅콩, 볶은것",28.50,46.24,19.91,5.18,567
"땅콩, 가루",28.43,43.11,24.62,6.26,560
"땅콩, 조미, 볶은것",26.54,43.59,24.92,5.31,558
"때죽, 말린것",13.6,44.7,31.8,-,551
"마름, 생것",5.8,0.5,40.6,1.6,183
"마카다미아, 조미, 볶은것",8.3,76.7,12.2,-3.8,751
"머루씨, 생것",6.3,4.8,54.0,-,282
"목화씨, 구운것",32.59,36.29,21.90,-,506
"밤, 생것",3.28,0.50,33.39,4.95,151
"밤, 단택, 생것",2.7,0.1,34.3,-,150
"밤, 대보, 생것",2.9,0.1,33.3,-,146
"밤, 옥광, 생것",2.9,0.1,33.5,-,147
"밤, 이평, 생것",3.5,0.1,35.4,-,157
"밤, 축파, 생것",2.8,0.1,32.1,-,141
"밤, 삶은것",3.45,0.51,33.95,6.06,154
"밤, 단택, 삶은것",3.2,0.2,33.6,-,150
"밤, 대보, 삶은것",3.0,0.1,35.2,-,155
"밤, 옥광, 삶은것",3.1,0.1,35.0,-,154
"밤, 이평, 삶은것",3.7,0.2,34.4,-,155
"밤, 축파, 삶은것",2.5,0.1,31.6,-,138
"밤, 구운것",4.65,0.68,45.36,7.75,206
"밤, 단택, 구운것",3.8,0.1,42.5,-,187
"밤, 대보, 구운것",3.6,0.1,41.2,-,181
"밤, 축파, 구운것",3.5,0.1,42.2,-,185
"밤, 말린것",6.7,4.1,78.6,-,377
"밤, 구운것, 레토르트",4.48,1.10,42.81,7.63,199
"밤, 통조림",1.1,0,55.2,-,225
"브라질너트, 말린것",14.32,67.10,11.74,2.33,659
"브라질너트, 조미, 볶은것",14.9,69.1,9.6,-2.3,703
"삼씨(대마씨), 말린것",29.9,28.3,31.7,2.3,450
"수박씨, 말린것",19.3,22.9,47.2,-,451
"수박씨, 조미, 볶은것",29.6,46.4,13.4,2.0,528
"아마씨, 볶은것",21.8,43.3,30.4,0.9,540
"아몬드, 말린것",23.44,49.96,20.09,6.82,581
"아몬드, 볶은것",23.45,51.29,20.49,3.91,594
"아몬드, 조미, 볶은것",25.74,46.61,21.82,5.82,568
"연씨, 생것",5.9,0.5,14.9,-0.5,81
"은행, 생것",4.69,1.53,42.78,2.95,203
"은행, 삶은것",4.31,1.86,38.25,1.91,186
"은행, 볶은것",5.00,2.05,45.76,3.33,221
"잣, 생것",15.96,59.28,19.38,1.33,630
"잣, 볶은것",17.6,75.0,4.7,-,708
"잣, 말린것",15.4,61.5,17.6,-,640
잣두부,7.5,4.3,4.0,-,78
잣죽,1.45,3.06,7.90,0.12,64
"참깨, 검은색, 말린것",20.85,44.12,26.45,0,549
"참깨, 검은색, 볶은것",21.28,42.30,27.42,0,539
"참깨, 흰색, 말린것",25.41,45.31,21.77,0,556
"참깨, 흰색, 볶은것",25.96,45.11,21.83,0,557
"참깨 과자, 엿강정",15.0,32.9,45.4,-,538
참깨죽,1.0,1.2,5.9,-,38
"치아씨, 말린것",16.54,30.74,42.12,-,486
"캐슈넛, 조미, 볶은것",16.84,47.77,30.16,5.01,581
"코코넛, 말린것",6.88,64.53,23.65,7.35,660
"코코넛, 볶은것",5.30,47.00,44.40,-,592
"코코넛, 코코넛밀크",2.29,23.84,5.54,3.34,230
코코넛수,0.72,0.20,3.71,2.61,19
"피스타치오, 말린것",20.16,45.32,27.17,7.66,560
"피스타치오, 볶은것",25.99,48.89,20.82,8.15,584
"피스타치오, 조미, 볶은것",22.90,48.22,24.66,5.95,583
"피칸, 말린것",9.17,71.97,13.86,3.97,691
"피칸, 조미, 볶은것",9.50,74.27,13.55,4.06,710
"해바라기씨, 말린것",21.93,52.26,18.58,2.68,589
"해바라기씨, 볶은것",19.33,49.80,24.07,2.73,582
"해바라기씨, 조미, 볶은것",20.1,56.3,17.2,-1.4,587
"호두, 말린것",15.47,71.99,7.92,0,688
"호두, 볶은것",14.6,68.8,11.7,2.5,713
"호박씨, 말린것",35.35,48.18,5.34,0,548
"호박씨, 조미, 볶은것",26.5,51.8,12.0,-1.3,590
"가시오갈피, 순, 생것",5.67,0.70,15.87,2.48,76
"가시오갈피, 순, 데친것",5.25,0.85,11.99,2.07,63
"가지, 생것",1.13,0.03,4.36,2.32,19
"가지, 데친것",1.00,0.10,4.40,1.94,19
"가지, 말린것",14.53,2.40,65.59,18.13,290
"가지, 염절임",1.4,0.1,5.2,-,22
"갓, 생것",3.5,0.2,7.3,-,36
"갓, 돌산갓, 생것",2.66,0.28,4.22,1.99,24
"개비름, 생것",2.72,0.29,3.96,0.31,23
"개비름, 데친것",2.98,0.41,4.51,0.27,27
"갯기름나물, 생것",3.71,0.41,9.67,0,47
"갯기름나물, 노지, 생것",3.94,0.32,7.91,0,41
"갯기름나물, 노지, 어린잎, 생것",4.17,0.52,10.92,0,53
"갯기름나물, 하우스, 생것",3.12,0.44,10.75,0,50
"갯기름나물, 하우스, 어린잎, 생것",3.59,0.36,9.09,0,44
"갯기름나물, 데친것",3.86,0.71,9.39,0,49
"갯기름나물, 노지, 데친것",3.62,0.57,8.56,0,44
"갯기름나물, 노지, 어린잎, 데친것",4.11,0.80,10.15,0,53
"갯기름나물, 하우스, 데친것",3.41,0.79,10.25,0,52
"갯기름나물, 하우스, 어린잎, 데친것",4.28,0.69,8.61,0,47
"갯나물, 세발나물, 생것",1.61,0.14,3.59,0,18
"갯나물, 세발나물, 데친것",2.29,0.28,4.20,0,23
"갯나물, 칠면초, 생것",2.7,0.3,5.0,-,27
"갯나물, 퉁퉁마디(함초), 노지, 생것",1.40,0.15,3.97,0,19
"갯나물, 퉁퉁마디(함초), 하우스, 생것",1.34,0.15,4.13,0,19
"갯나물, 퉁퉁마디(함초), 환",9.28,6.14,52.60,0.94,262
"게걸무, 생것",2.3,0.1,13.6,-,59
"게걸무, 잎, 생것",2.7,0.2,4.2,-,23
"겨자, 녹색, 생것",3.03,0.17,4.19,0,24
"겨자, 적색, 생것",3.54,0.27,3.57,0,24
"경수채, 어린잎, 생것",1.68,0.24,5.57,2.10,26
"고구마, 잎, 생것",3.92,0.44,7.34,0,47
"고구마, 잎, 데친것",3.44,0.62,5.80,0,41
"고구마, 줄기, 생것",0.76,0.02,3.63,0,18
"고구마, 줄기, 데친것",0.59,0.05,3.64,0,17
"고구마, 줄기, 삶은것",0.45,0.05,2.88,0,14
"고구마, 줄기, 말린것",6.07,0.47,75.53,17.11,332
"고구마, 줄기, 삶아서 말린것, 삶은것",0.48,0.11,4.96,0,23
"고구마, 줄기, 껍질 포함, 생것",0.88,0.03,4.96,1.52,23
"고구마, 줄기, 껍질 포함, 데친것",0.74,0.06,4.65,0.33,22
"고구마, 줄기, 껍질 포함, 삶아서 말린것, 삶은것",0.52,0.06,7.51,0,33
"고들빼기, 생것",1.6,0.5,5.8,-,29
"고들빼기, 이고들빼기, 생것",2.5,0.4,8.2,-,39
"고려엉겅퀴(곤드레), 재래종, 잎, 생것",3.47,1.38,3.29,0.35,32
"고려엉겅퀴(곤드레), 야생, 말린것",20.5,3.9,53.9,-,275
"고려엉겅퀴(곤드레), 재배, 말린것",5.6,2.8,76.4,-,310
"고비, 야생, 생것",1.72,0.13,6.41,2.09,28
"고비, 야생, 삶은것",1.58,0.16,5.43,0,25
"고비, 야생, 말린것, 삶은것",1.68,0.26,6.84,0,31
"고비, 야생, 삶아서 말린것",17.95,1.70,67.51,7.61,299
"고비, 재배, 생것",2.1,0.1,6.2,-,28
"고사리, 생것",2.90,0.17,3.80,0.20,22
"고사리, 데친것",2.74,0.24,3.55,0.43,21
"고사리, 말린것",25.8,0.6,54.2,-,261
"고사리, 삶아서 말린것",27.85,2.11,56.58,0,273
"고수(향채), 생것",4.6,0.2,5.6,-,33
"고추, 싹, 생것",2.6,0.1,3.8,-,21
"고추, 빨간색, 생것",3.12,2.73,15.34,5.48,85
"고추, 빨간색, 녹광, 생것",2.3,1.3,6.9,-,41
"고추, 빨간색, 수비초, 생것",3.7,1.8,14.8,-,77
"고추, 빨간색, 말린것",13.88,8.71,57.47,-,312
"고추, 연두색, 시레나, 생것",1.0,0.1,4.4,-,19
"고추, 초록색, 녹광, 생것",1.4,0.8,4.6,-,27
"고추, 초록색, 시레나, 생것",1.1,0.1,5.4,-,23
"고추, 풋고추, 생것",1.71,0.19,6.42,1.80,29
"고추, 풋고추, 재래종, 생것",1.2,0.2,6.0,-,26
"고추, 꽈리고추, 생것",1.83,0.13,7.78,1.98,33
"고추, 오이고추, 생것",0.99,0.12,5.51,0.76,23
"고추, 청양고추, 생것",1.53,0.30,7.01,0.34,31
고추장아찌,2.39,0.63,31.49,11.38,124
"고춧잎, 생것",5.07,0.32,8.49,0,45
"고춧잎, 데친것",5.16,0.85,8.90,0,51
"고춧잎, 말린것",35.43,5.30,37.80,0,266
"고춧잎, 삶아서 말린것, 삶은것",4.41,0.76,6.66,0,41
"고추냉이, 뿌리, 생것",2.9,0.5,23.7,-,103
"고추냉이, 잎, 생것",3.7,0.5,6.3,-,36
"고추냉이, 줄기, 생것",0.9,0.2,5.6,-,24
"곤달비, 생것",1.8,0.5,9.4,-,42
"곤달비, 데친것",1.8,0.5,7.4,-,35
"공심채, 생것",2.2,0.1,3.1,-0.5,17
"공심채, 데친것",2.2,0.1,4.1,-0.5,18
"꾸지뽕, 잎, 생것",5.06,0.51,19.18,3.07,85
"꾸지뽕, 잎, 삶은것",3.93,0.51,13.15,0.98,61
"꾸지뽕, 잎, 말린것",18.25,1.40,63.30,12.44,282
"구기자, 순, 재래종, 생것",6.27,1.08,7.05,0.78,50
"구기자, 잎, 재래종, 생것",6.33,1.57,7.77,0.24,56
"국화꽃, 생것",1.4,0,6.5,-,25
"국화꽃, 데친것",1.0,0,5.7,-,21
"국화꽃, 말린것",11.6,0.2,73.5,-,283
"근대, 생것",1.78,0.20,3.28,0,18
"근대, 데친것",1.79,0.20,3.95,0,20
"김치, 갓김치",3.26,0.40,7.07,2.46,37
"김치, 고들빼기",4.1,2.7,11.9,-,88
"김치, 깍두기",1.43,0.19,7.54,3.55,38
"김치, 나박 김치",0.34,0.07,1.27,0.29,7
"김치, 동치미",0.33,0.01,1.77,0.62,8
"김치, 배추 김치",1.97,0.57,6.24,2.87,38
"김치, 배추 김치, 봄 재배 ",2.22,0.67,5.95,2.38,39
"김치, 배추 김치, 여름 재배",1.84,0.49,6.56,3.22,38
"김치, 배추 김치, 가을 재배",1.85,0.54,6.10,3.05,37
"김치, 백김치",0.95,0.07,3.00,1.04,16
"김치, 열무 김치",2.40,0.29,4.99,0.48,32
"김치, 열무 물김치",1.41,0.07,2.91,1.68,18
"김치, 오이 소박이",1.76,0.37,6.66,3.17,37
"김치, 유채 김치",3.5,0.8,10.1,-,62
"김치, 유채 물김치",1.0,0.1,3.0,-,17
"김치, 총각 김치",2.02,0.20,7.89,2.68,41
"김치, 파 김치",2.50,0.58,8.51,2.80,49
"김치, 얼갈이배추 김치",1.88,0.58,4.37,1.15,30
"꽃양배추(콜리플라워), 생것",2.17,0.48,4.84,2.28,27
"꽃양배추(콜리플라워), 데친것",2.40,0.47,4.62,2.42,26
"꿀풀(하고초), 생것",1.6,0.2,11.9,-,48
"꿀풀(하고초), 말린것",8.2,4.0,71.6,-,309
"날개콩, 미숙, 생것",1.9,0.2,6.5,-,36
"냉이, 생것",4.23,0.27,8.06,1.28,41
"냉이, 데친것",5.09,0.50,9.19,0,49
"누리장나무잎, 생것",4.5,1.0,12.7,-,65
"는쟁이냉이, 생것",2.5,0.3,5.4,-,28
"달래, 생것",1.90,0.22,6.10,1.46,28
"당귀, 일당귀, 잎, 생것",3.2,0.4,8.8,-,43
"당귀, 참당귀, 잎, 생것",2.6,0.7,7.4,-,39
"당근, 뿌리, 생것",1.02,0.13,7.03,6.23,31
"당근, 뿌리, 데친것",0.97,0.13,7.01,2.39,31
당근 주스,0.44,0.09,10.03,6.87,38
"당근 주스, 캔",0.95,0.15,9.28,3.91,40
"대나무순(죽순), 생것",3.48,0.22,3.77,1.11,24
"대나무순(죽순), 데친것",3.2,0.3,5.5,-,30
"대나무순(죽순), 삶은것",2.29,0.28,3.12,0.41,19
"대나무순(죽순), 삶아서 말린것",28.31,4.69,57.62,2.27,314
"대나무순(죽순), 통조림",2.7,0.2,4.0,-1.4,22
"더덕, 뿌리, 생것",1.91,0.13,21.52,5.01,89
"더덕, 뿌리, 가루",11.19,0.77,78.40,15.09,339
"도라지, 뿌리, 생것",1.70,0.11,13.08,1.15,56
"도라지, 뿌리, 데친것",1.48,0.14,11.35,0.75,49
"도라지, 뿌리, 말린것",10.67,0.89,74.59,3.40,324
"도라지, 뿌리, 가루",12.53,1.12,76.64,12.27,339
"돌나물, 생것",1.19,0.08,3.23,0,15
"동아, 생것",0.5,0.1,3.8,-,15
"동아, 데친것",0.6,0.1,3.7,-,15
"두릅, 땅두릅, 생것",2.40,0.22,4.79,0.81,25
"두릅, 땅두릅, 잎, 생것",4.3,0.3,8.5,-,43
"두릅, 땅두릅, 줄기, 생것",1.6,0.2,3.1,-,17
"두릅, 땅두릅, 데친것",2.30,0.25,4.56,1.08,24
