식품명,단백질(g),지방(g),탄수화물(g),당류(g),에너지(kcal)
"멥쌀, 칠분도미, 죽",-1.1,-0.2,-15.6,-0.1,68
"멥쌀, 칠분도미, 미음",-0.3,-0.1,-4.6,0,20
"멥쌀, 현미, 생것",7.33,2.23,75.92,1.18,357
"멥쌀, 현미, 고아미2호, 생것",9.17,4.11,71.00,3.17,359
"멥쌀, 현미, 골든퀸3호, 생것",6.16,2.01,77.26,0.50,357
"멥쌀, 현미, 금강1호, 생것",7.08,2.72,77.11,0.57,365
"멥쌀, 현미, 남찬, 생것",7.25,2.31,75.26,0.89,355
"멥쌀, 현미, 농림나1호, 생것",5.8,4.8,75.3,-,371
"멥쌀, 현미, 도담쌀, 생것",7.73,2.85,74.15,1.26,356
"멥쌀, 현미, 미품, 생것",8.41,2.07,73.30,0.83,348
"멥쌀, 현미, 보람찬, 생것",7.42,2.01,75.74,1.07,355
"멥쌀, 현미, 삼광, 생것",6.88,2.00,76.98,0.92,358
"멥쌀, 현미, 새일미, 생것",7.60,2.12,76.00,1.00,357
"멥쌀, 현미, 설갱, 생것",7.53,2.34,75.36,1.30,356
"멥쌀, 현미, 신동진, 생것",6.69,1.98,75.24,0.76,350
"멥쌀, 현미, 알찬미, 생것",6.91,2.34,78.09,1.41,365
"멥쌀, 현미, 영호진미, 생것",6.21,2.32,78.10,1.28,363
"멥쌀, 현미, 예찬, 생것",7.23,2.47,75.25,1.81,356
"멥쌀, 현미, 오대, 생것",8.07,2.31,76.53,1.27,363
"멥쌀, 현미, 운광, 생것",6.52,2.28,75.94,1.12,355
"멥쌀, 현미, 일미벼, 생것",9.0,1.0,76.2,-,354
"멥쌀, 현미, 일품, 생것",7.00,2.18,76.37,1.13,357
"멥쌀, 현미, 일품벼, 생것",7.4,2.0,77.8,-,363
"멥쌀, 현미, 추청벼, 생것",6.4,2.7,76.9,-,362
"멥쌀, 현미, 친들, 생것",6.97,1.98,75.80,1.57,353
"멥쌀, 현미, 큰눈벼, 생것",7.3,3.0,77.9,-,371
"멥쌀, 현미, 통일벼, 생것",8.9,1.6,77.2,-,362
"멥쌀, 현미, 팔방미, 생것",9.12,2.65,73.74,0.47,358
"멥쌀, 현미, 하이아미, 생것",7.41,2.60,75.73,1.15,360
"멥쌀, 현미, 한가루, 생것",7.92,2.20,76.38,2.15,361
"멥쌀, 현미, 한아름4호, 생것",7.56,2.20,77.23,1.53,363
"멥쌀, 현미, 해담쌀, 생것",7.42,2.44,77.58,1.68,366
"멥쌀, 현미, 해들, 생것",8.06,2.34,74.99,1.24,356
"멥쌀, 현미, 해품, 생것",8.71,1.88,73.53,0.86,349
"멥쌀, 현미, 호품벼, 생것",6.30,1.94,73.94,0.33,343
"멥쌀, 현미, 발아현미, 생것",7.0,2.3,79.4,-,371
"멥쌀, 현미, 적진주, 생것",7.47,2.48,76.01,1.81,360
"멥쌀, 현미, 흑미, 생것",7.70,2.21,75.56,0.94,357
"멥쌀, 현미, 흑진미, 생것",7.82,2.11,75.82,1.22,357
"멥쌀, 현미, 흑진주벼, 생것",7.9,2.6,77.7,-,369
"멥쌀, 현미, 밥",3.47,0.96,35.34,0.40,166
"멥쌀, 현미, 농림나1호, 밥",2.8,0.2,46.1,-,201
"멥쌀, 현미, 밭벼, 밥",4.1,1.0,34.3,-1.1,156
"멥쌀, 현미, 삼광, 밥",3.50,1.15,34.83,0.38,165
"멥쌀, 현미, 새일미, 밥",3.43,1.08,36.67,0.41,172
"멥쌀, 현미, 신동진, 밥",3.15,0.76,34.57,0.26,160
"멥쌀, 현미, 오대, 밥",3.81,0.87,35.29,0.53,166
"멥쌀, 현미, 흑진미, 밥",3.98,1.01,36.83,0.50,174
"멥쌀, 현미, 죽",-1.2,-0.4,-15.2,-0.4,64
"멥쌀, 현미, 미음",-0.4,-0.1,-4.4,-0.1,19
"멥쌀밥, 쪄서 말린것",5.2,0.1,83.7,-,373
누룽지,6.8,0.2,86.8,-,393
"즉석밥, 누룽지",6.64,0.84,90.98,1.14,415
"즉석밥, 누룽지, 끓는물 부음",1.32,0.10,15.06,1.15,69
"즉석밥, 백미",2.11,0.28,33.59,1.04,152
"즉석밥, 잡곡밥(멥쌀, 찹쌀, 흑미, 팥, 기장, 찰수수)",2.83,0.38,33.76,0.03,150
멥쌀 과자,3.2,15.9,78.2,-,469
"멥쌀 과자, 쌀엿강정, 팽화",4.11,2.13,89.96,29.97,395
"멥쌀 과자, 튀밥, 팽화",8.7,3.9,80.7,-,393
"멥쌀 국수, 말린것",9.1,1.5,72.6,-,340
